Question,Answer
"What is JioPay Business?
","JioPay Business is a payment aggregator and gateway provided by Jio Payment Solutions Limited (formerly known as Reliance Payment Solutions Limited), a subsidiary of Reliance Industries Limited. It offers merchants and businesses of all sizes simple and self-service products to accept and process payments online and offline from their customers. JioPay Business supports payments through web, mobile, and Point of Sale (POS) systems, making it convenient for merchants to manage transactions. With JioPay Business, businesses can streamline their payment operations and provide a seamless payment experience to their customers."
"What is the purpose of the JioPay Business App?
","JioPay Business App is designed for retailers, businessmen or any other service providers to keep track of payments even when on the move. With the JioPay Business app, you can perform payment processing activities like accepting payments, viewing past transactions, issuing refunds, editing your profile and much more."
"How can I download the JioPay Business App?
","To download the JioPay Business App, follow these steps:
    1. Open the Google Play Store app on your phone.
    2. Search for ""JioPay Business"" and select it.
    3. Tap ""Install"" to download and install the app."
"I have forgotten my account password. How can I reset it?
","At the time of login to the JioPay Business App/Dashboard, select the 'Forgot password' option and follow the instructions indicated to reset the password."
"I am unable to login to the App/Dashboard. What can I do?
","If you are unable to log in to the JioPay Business App or Dashboard, you can try the following:
    1. Check your internet connection: Ensure you have a stable internet connection by switching between Wi-Fi and mobile data.
    2. Reinstall the app: Uninstall the JioPay Business App and reinstall it to ensure you have the latest version.
    3. Verify your username and password: Double-check that you are entering the correct credentials. Use the ""Forgot Password"" option if you need to reset your password."
"Why My App is crashing on my Phone?
","If the JioPay Business App is crashing on your phone, try the following steps:
    1. Check your internet connection: Ensure you have a stable internet connection by switching between Wi-Fi and mobile data.
    2. Delete and reinstall the app: Uninstall the JioPay Business App and reinstall it to get the latest version.
    3. Check phone software updates: Make sure your phone's software is up to date by checking for available updates."
"Where can I see transaction details in the App/Portal?
",Click on the icon in the top right corner of the App/Portal and select 'Transactions' from the option to see the transaction details.
"What is JioPay Business Dashboard?
","The JioPay Business Dashboard is a user interface designed for merchants to configure and operate their JioPay Business account. It provides a centralized platform for managing your business and payments. With real-time charts and analytics, the dashboard allows you to track your business performance. You can view detailed reports, monitor transaction history, and analyse payment trends. The JioPay Business Dashboard empowers merchants to make informed decisions and optimize their payment processes. It offers valuable insights and enables better control over operations. By utilizing this user-friendly interface, merchants can effectively manage their JioPay Business account and drive business growth."
"How can I generate reports on JioPay business Dashboard?
",All of your transaction/refund/settlement data can be exported as reports in Excel/Text format. You can also download daily/monthly/custom date range report from the Reports section of the Dashboard.
"How can I create Collect link?
","You can create a Collect link in two ways: via API or via the Dashboard.
• API: If you have programming knowledge or developer access, you can use the JioPay Business API to generate a Collect link programmatically. We will provide you integration kit.
• Dashboard: To create a Collect link via the JioPay Dashboard:
    o  Log in to the JioPay Dashboard.
    o  Go to the Payment Links section.
    o  Click on Create Payment Link.
    o  Fill in the amount and customer details.
    o  The payment link will be shared via SMS and email."
"What are the payment modes available via Collect link?
","Payment modes available via a Collect link include Cards, Net banking, Wallets, and UPI. The availability of specific modes depends on the activated payment methods for the Merchant ID (MID)."
"Can I use Single Collect link to accept payments from multiple customers?
","No, you cannot use a single Collect link to accept payments from multiple customers. A Collect link is typically generated for a specific transaction and is intended to be used by a single customer to make a payment. If you need to accept payments from multiple customers, you will need to generate separate Collect links for each customer."
"What is the validity of the Collect link?
","The validity of a Collect link is 90 days by default. However, merchants can update the validity by unchecking the default expiry check box & select the validity of the Collect link. Maximum validity is 180 days and minimum can be any period as per their needs."
"Can I create Bulk Collect links?
","As of now, JioPay does not offer the feature of creating bulk Collect links. However, this is something that they are working on and it is likely to be available in the near future."
"Is partial payment allowed?
","No, partial payment is not allowed when using a Collect link. The customer can only make a payment for the specific amount mentioned in the generated Collect link. However, this is something that they are working on and it is likely to be available in the near future."
"Can customer enter the amount?
","No, the customer cannot enter the amount when using a Collect link. The customer can only make a payment for the specific amount mentioned in the generated Collect link."
"Can I add sub user to JioPay Business?
","Yes, you can add sub-users to your JioPay Business account by following these steps:
• Go to the ""Settings"" tab in the merchant dashboard.
• Click on ""User Management"" and provide the necessary details for the new user.
• Grant appropriate permissions based on their requirements.
• Click ""Add User"" to complete the process.
• The new sub-user will receive an invitation to create a password by clicking on the ""Forgot Password"" option on the login page."
"How can a new sub access merchant Dashboard?
","New sub user need to create a password by clicking on forgot password. Once the password is created, new sub user can login using new password on JioPay login page."
"Can I block sub user?
","Yes, you can block/edit/delete your sub users by going into user management section inside settings tab."
"What is Repeat?
","Repeat is a billing system that allows consumers to make recurring payments for the usage of services provided by you. It enables automated and regular billing for ongoing services or subscriptions, ensuring a seamless payment experience for your customers. With Repeat, you can streamline your billing process and securely collect payments on a recurring basis."
